viallabel,barcode,sampletypecode,shipping_box,shipping_position,new_batch
11057040401,8010746869,4,7000164168,A01,batch_9
11064010401,8010746643,4,7000164168,A02,batch_5
11163020401,8038299391,4,7000164168,A03,batch_10
11252050401,8010769453,4,7000164168,A04,batch_13
11162020401,8038298939,4,7000164168,A05,batch_15
11055070401,8010746317,4,7000164168,A06,batch_9
11161010401,8038298906,4,7000164168,A07,batch_4
11007030401,8019475602,4,7000164168,A08,batch_5
11008040401,8019475023,4,7000164168,A09,batch_9
11046070401,8010746235,4,7000164168,A10,batch_9
11048030401,8010746592,4,7000164168,A11,batch_10
11060010401,8010758293,4,7000164168,A12,batch_7
11057050401,8010758345,4,7000164168,B01,batch_9
11064040401,8010746684,4,7000164168,B02,batch_5
11163040401,8038299310,4,7000164168,B03,batch_10
11164010401,8010749554,4,7000164168,B04,batch_9
11162030401,8038299035,4,7000164168,B05,batch_15
11210010401,8038297406,4,7000164168,B06,batch_3
11161020401,8010749408,4,7000164168,B07,batch_4
11007040401,8019475516,4,7000164168,B08,batch_5
11008050401,8019475124,4,7000164168,B09,batch_9
11058010401,8010758751,4,7000164168,B10,batch_10
11048040401,8019473054,4,7000164168,B11,batch_10
11060040401,8019475273,4,7000164168,B12,batch_7
11057060401,8010758752,4,7000164168,C01,batch_9
11064050401,8010746981,4,7000164168,C02,batch_5
11163050401,8038299048,4,7000164168,C03,batch_10
11164020401,8038299613,4,7000164168,C04,batch_9
11162040401,8038299381,4,7000164168,C05,batch_15
11210040401,8038297489,4,7000164168,C06,batch_3
11161030401,8010745841,4,7000164168,C07,batch_4
11007050401,8019475026,4,7000164168,C08,batch_5
11008060401,8019475827,4,7000164168,C09,batch_9
11058040401,8010758596,4,7000164168,C10,batch_10
11048050401,8019471843,4,7000164168,C11,batch_10
11060050401,8019475365,4,7000164168,C12,batch_7
11169010401,8038299299,4,7000164168,D01,batch_11
11064070401,8010746262,4,7000164168,D02,batch_5
11163070401,8038299125,4,7000164168,D03,batch_10
11164030401,8038299396,4,7000164168,D04,batch_9
11162050401,8038299022,4,7000164168,D05,batch_15
11210050401,8038297072,4,7000164168,D06,batch_3
11161040401,8038299485,4,7000164168,D07,batch_4
11007060401,8019475655,4,7000164168,D08,batch_5
11046010401,8010758856,4,7000164168,D09,batch_9
11058050401,8010758518,4,7000164168,D10,batch_10
11048070401,8010758511,4,7000164168,D11,batch_10
11212010401,8038297424,4,7000164168,D12,batch_14
11169020401,8038298883,4,7000164168,E01,batch_11
11215010401,8038297882,4,7000164168,E02,batch_14
11252010401,8010769215,4,7000164168,E03,batch_13
11164040401,8038299252,4,7000164168,E04,batch_9
11055010401,8010746680,4,7000164168,E05,batch_9
11210070401,8038297808,4,7000164168,E06,batch_3
11161050401,8038298886,4,7000164168,E07,batch_4
11007070401,8019475930,4,7000164168,E08,batch_5
11046020401,8010746258,4,7000164168,E09,batch_9
11058060401,8010759006,4,7000164168,E10,batch_10
11059010401,8010746310,4,7000164168,E11,batch_8
11212040401,8038297028,4,7000164168,E12,batch_14
11169030401,8038299675,4,7000164168,F01,batch_11
11215040401,8038297875,4,7000164168,F02,batch_14
11252020401,8010768743,4,7000164168,F03,batch_13
11164050401,8038299367,4,7000164168,F04,batch_9
11055040401,8010758393,4,7000164168,F05,batch_9
11211010401,8038296900,4,7000164168,F06,batch_4
11161070401,8038299233,4,7000164168,F07,batch_4
11008010401,8019475896,4,7000164168,F08,batch_9
11046030401,8010758337,4,7000164168,F09,batch_9
11058070401,8010758609,4,7000164168,F10,batch_10
11059040401,8010758329,4,7000164168,F11,batch_8
11212050401,8038296986,4,7000164168,F12,batch_14
11169040401,8038299085,4,7000164168,G01,batch_11
11215050401,8038298562,4,7000164168,G02,batch_14
11252030401,8010769266,4,7000164168,G03,batch_13
11164070401,8038298986,4,7000164168,G04,batch_9
11055050401,8010746984,4,7000164168,G05,batch_9
11211040401,8038297773,4,7000164168,G06,batch_4
11007010401,8019475870,4,7000164168,G07,batch_5
11008020401,8019475580,4,7000164168,G08,batch_9
11046040401,8019472065,4,7000164168,G09,batch_9
11048010401,8010746982,4,7000164168,G10,batch_10
11059050401,8010758645,4,7000164168,G11,batch_8
11212060401,8038297193,4,7000164168,G12,batch_14
11169050401,8038298914,4,7000164168,H01,batch_11
11163010401,8038299415,4,7000164168,H02,batch_10
11252040401,8010768723,4,7000164168,H03,batch_13
11162010401,8038298952,4,7000164168,H04,batch_15
11055060401,8010746743,4,7000164168,H05,batch_9
11211050401,8038296959,4,7000164168,H06,batch_4
11007020401,8019475420,4,7000164168,H07,batch_5
11008030401,8019471865,4,7000164168,H08,batch_9
11046050401,8010758334,4,7000164168,H09,batch_9
11048020401,8010758310,4,7000164168,H10,batch_10
11059060401,8010758179,4,7000164168,H11,batch_8
11212070401,8038297048,4,7000164168,H12,batch_14
11200010401,8038297695,4,7000164173,A01,batch_2
11213040401,8038297483,4,7000164173,A02,batch_8
11251060401,8010769556,4,7000164173,A03,batch_4
11285070401,8010759700,4,7000164173,A04,batch_15
11012030401,8019475160,4,7000164173,A05,batch_4
11321010401,8010751385,4,7000164173,A06,batch_3
11233010401,8038293618,4,7000164173,A07,batch_16
11232060401,8038301087,4,7000164173,A08,batch_15
11286050401,8010759487,4,7000164173,A09,batch_7
11168020401,8038299471,4,7000164173,A10,batch_14
11218050401,8038297893,4,7000164173,A11,batch_12
11258010401,8010769055,4,7000164173,A12,batch_4
11200020401,8038296993,4,7000164173,B01,batch_2
11213050401,8038297558,4,7000164173,B02,batch_8
11251070401,8010769428,4,7000164173,B03,batch_4
11291010401,8010759659,4,7000164173,B04,batch_9
11012040401,8019475373,4,7000164173,B05,batch_4
11321040401,8010751882,4,7000164173,B06,batch_3
11233040401,8038293869,4,7000164173,B07,batch_16
11232070401,8038294371,4,7000164173,B08,batch_15
11286070401,8010759459,4,7000164173,B09,batch_7
11168030401,8038299097,4,7000164173,B10,batch_14
11218060401,8038297632,4,7000164173,B11,batch_12
11258020401,8010768916,4,7000164173,B12,batch_4
11200030401,8038297303,4,7000164173,C01,batch_2
11213060401,8038297297,4,7000164173,C02,batch_8
11285010401,8010759322,4,7000164173,C03,batch_15
11291020401,8010759198,4,7000164173,C04,batch_9
11012050401,8019475188,4,7000164173,C05,batch_4
11321050401,8010751423,4,7000164173,C06,batch_3
11233050401,8038299029,4,7000164173,C07,batch_16
11234010401,8038293503,4,7000164173,C08,batch_1
11294010401,8010759426,4,7000164173,C09,batch_5
11168040401,8038298942,4,7000164173,C10,batch_14
11266010401,8010769261,4,7000164173,C11,batch_13
11258030401,8010768866,4,7000164173,C12,batch_4
11200040401,8038297179,4,7000164173,D01,batch_2
11251010401,8010769454,4,7000164173,D02,batch_4
11285020401,8010759233,4,7000164173,D03,batch_15
11291030401,8010759703,4,7000164173,D04,batch_9
11012060401,8019475813,4,7000164173,D05,batch_4
11321060401,8010751286,4,7000164173,D06,batch_3
11233060401,8038294020,4,7000164173,D07,batch_16
11234040401,8038293808,4,7000164173,D08,batch_1
11294020401,8010759775,4,7000164173,D09,batch_5
11168050401,8038299288,4,7000164173,D10,batch_14
11266020401,8010769357,4,7000164173,D11,batch_13
11258040401,8010768985,4,7000164173,D12,batch_4
11200050401,8038297213,4,7000164173,E01,batch_2
11251020401,8010769527,4,7000164173,E02,batch_4
11285030401,8010759889,4,7000164173,E03,batch_15
11291040401,8010759223,4,7000164173,E04,batch_9
11062010401,8018514065,4,7000164173,E05,batch_9
11321070401,8010751323,4,7000164173,E06,batch_3
11233070401,8038293810,4,7000164173,E07,batch_16
11234050401,8038294292,4,7000164173,E08,batch_1
11294030401,8010759559,4,7000164173,E09,batch_5
11168060401,8038299530,4,7000164173,E10,batch_14
11266030401,8010769396,4,7000164173,E11,batch_13
11258050401,8010769061,4,7000164173,E12,batch_4
11200060401,8038297690,4,7000164173,F01,batch_2
11251030401,8010769458,4,7000164173,F02,batch_4
11285040401,8010759971,4,7000164173,F03,batch_15
11291050401,8010759958,4,7000164173,F04,batch_9
11062040401,8010746692,4,7000164173,F05,batch_9
11322010401,8010752011,4,7000164173,F06,batch_11
11232010401,8038299487,4,7000164173,F07,batch_15
11286010401,8010759893,4,7000164173,F08,batch_7
